-0,791	-0,1025
-0,4687	-0,1562
-0,1025	-0,2002
0,2539	-0,2539
0,5957	-0,2881
0,9473	-0,3369
1,2891	-0,3955
1,6357	-0,459
1,958	-0,5029
2,29	-0,5811
2,5977	-0,6396
2,915	-0,7129
3,2178	-0,7861
3,4912	-0,8691
3,75	-0,9473
3,999	-1,0205
4,248	-1,0889
4,4385	-1,1523
4,6436	-1,2109
4,7949	-1,2598
4,9463	-1,2988
5,0586	-1,3281
5,166	-1,333
5,2295	-1,3525
5,2783	-1,3281
5,3125	-1,2744
5,3076	-1,0645
5,2832	-0,7666
5,2148	-0,6299
5,0977	-0,4834
4,9316	-0,332
4,7559	-0,2002
4,6045	-0,0781
4,4238	0,0098
4,2285	0,0684
4,0234	0,1221
3,7988	0,1221
3,5498	0,127
3,3008	0,1807
3,0176	0,2002
2,7148	0,2002
2,4268	0,2344
2,0996	0,2588
1,7773	0,2832
1,4355	0,3027
1,0889	0,3271
0,7568	0,3516
0,3955	0,3613
0,0537	0,3857
-0,2979	0,3955
-0,6494	0,415
-0,9814	0,4346
-1,3184	0,4688
-1,6553	0,4834
-1,9775	0,5176
-2,29	0,542
-2,5879	0,5566
-2,8955	0,5859
-3,1641	0,6104
-3,4326	0,6396
-3,6719	0,6543
-3,916	0,6836
-4,1113	0,7031
-4,3115	0,7178
-4,4775	0,7373
-4,6289	0,7471
-4,7607	0,7568
-4,8682	0,7568
-4,9609	0,7617
-5,0049	0,7568
-5,0684	0,752
-5,0684	0,7227
-5,0684	0,6738
-5,0391	0,6396
-4,9805	0,6201
-4,917	0,5908
-4,7949	0,5518
-4,6973	0,5127
-4,5312	0,4785
-4,3896	0,4297
-4,1943	0,3906
-3,9893	0,3467
-3,7646	0,2979
-3,5156	0,2441
-3,2666	0,21
-2,9687	0,1807
-2,6904	0,1514
-2,4072	0,0977
-2,0801	0,0439
-1,7627	0,0342
-1,4453	0,0146
-1,0986	-0,0586
-0,7373	-0,1172
-0,415	-0,1709
-0,0391	-0,2197
0,3223	-0,2588
0,6787	-0,3076
1,0205	-0,3516
1,3672	-0,4004
1,7139	-0,4639
2,0459	-0,5273
2,373	-0,5859
2,6953	-0,6641
2,9932	-0,7373
3,2861	-0,8154
3,5645	-0,8887
3,8232	-0,9717
4,0625	-1,0449
4,2871	-1,1084
4,4922	-1,1719
4,668	-1,2305
4,8389	-1,2744
4,9707	-1,3184
5,0879	-1,3428
5,1709	-1,3477
5,2441	-1,3428
5,2783	-1,333
5,3027	-1,2695
5,3027	-1,0156
5,2783	-0,7422
5,1904	-0,6006
5,0586	-0,4346
4,873	-0,3027
4,6973	-0,1611
4,5557	-0,0488
4,3506	0,0244
4,1602	0,0977
3,9502	0,1221
3,7061	0,127
3,4766	0,1367
3,2031	0,1807
2,9248	0,2051
2,627	0,2148
2,3193	0,249
1,9922	0,2686
1,6748	0,2979
1,333	0,3027
0,9912	0,3271
0,6592	0,3467
0,3076	0,3711
-0,0293	0,3857
-0,3857	0,4053
-0,7275	0,4248
-1,0645	0,4443
-1,4014	0,4736
-1,7285	0,498
-2,0557	0,5127
